"PMID","Title","Journal","Year"
"10766892","A new family with paroxysmal exercise induced dystonia and migraine: a clinical and genetic study.","Journal of neurology, neurosurgery, and psychiatry","2000"
"21195698","Association study of calcitonin gene-related polypeptide-alpha (CALCA) gene polymorphism with migraine.","Brain research","2011"
"22103325","A genotype-phenotype analysis of the 8q22.1 variant in migraine with aura.","European journal of neurology","2012"
"36786913","Whole Exome Sequencing of Hemiplegic Migraine Patients Shows an Increased Burden of Missense Variants in CACNA1H and CACNA1I Genes.","Molecular neurobiology","2023"
"41603368","Clinical and genetic characterization of non-optimal triptan response among migraine patients.","Cephalalgia : an international journal of headache","2026"
"20651814","Lack of association between ADRA2B-4825 gene insertion/deletion polymorphism and migraine in Chinese Han population.","Neuroscience bulletin","2010"
"41135260","Do Common Genetic Factors Underlie Comorbidity Between Migraine and Major Depressive Disorder in Youth?","Pediatric neurology","2025"
"15830246","A genome-wide scan provides evidence for loci influencing a severe heritable form of common migraine.","Neurogenetics","2005"
"32083545","Bioinformatics analysis of gene and microRNA targets for fibromyalgia.","Clinical and experimental rheumatology","2021"
"40747904","A machine learning-driven transcriptomic study reveals the key role of Romo1 in reversing central sensitization through stellate ganglion block in migraine: An interventional study based on a recurrent migraine rat model.","Headache","2026"
"32632093","A genome-wide cross-phenotype meta-analysis of the association of blood pressure with migraine.","Nature communications","2020"
"40337101","Inflammation Factors Mediate Association of Muscle Mass and Migraine: NHANES 1999-2004 and Mendelian Randomization.","Journal of pain research","2025"
"29723522","Transcriptomic profiling of trigeminal nucleus caudalis and spinal cord dorsal horn.","Brain research","2018"
"23985897","RNA expression profiling in brains of familial hemiplegic migraine type 1 knock-in mice.","Cephalalgia : an international journal of headache","2014"
"25934857","Shared genetic basis for migraine and ischemic stroke: A genome-wide analysis of common variants.","Neurology","2015"
"25449067","[Clinical features and PRRT2 mutations in infantile convulsions with paroxysmal choreoathetosis].","Zhonghua yi xue yi chuan xue za zhi = Zhonghua yixue yichuanxue zazhi = Chinese journal of medical genetics","2014"
"39505312","Syncope in Migraine: A Genome-Wide Association Study Revealing Distinct Genetic Susceptibility Variants Across Subtypes.","Journal of clinical neurology (Seoul, Korea)","2024"
"39408819","Bioinformatic Analysis from a Descriptive Profile of miRNAs in Chronic Migraine.","International journal of molecular sciences","2024"
"27539559","Migraine: Treasure hunt in a minefield - exploring migraine with GWAS.","Nature reviews. Neurology","2016"
"34184781","Genome-Wide Association Study Identifies Risk Loci for Cluster Headache.","Annals of neurology","2021"
"21713554","Polymorphisms of the SCN1A gene in children and adolescents with primary headache and idiopathic or cryptogenic epilepsy: is there a linkage?","The journal of headache and pain","2011"
"41163282","Circulating Cytokines Mediate the Causal Relationship between Plasma Lipids and Migraine and its Subtypes: A Mediated Mendelian Randomization Study.","Combinatorial chemistry & high throughput screening","2025"
"37254524","Integrating functional scoring and regulatory data to predict the effect of non-coding SNPs in a complex neurological disease.","Briefings in functional genomics","2024"
"40629613","Migraine and cochlear disease: A 2-sample bidirectional Mendelian randomized study.","Medicine","2025"
"22220971","Genomic expression patterns in menstrual-related migraine in adolescents.","Headache","2012"
"36797674","A study of differential microRNA expression profile in migraine: the microMIG exploratory study.","The journal of headache and pain","2023"
"19215628","Extracting a needle from a haystack: reanalysis of whole genome data reveals a readily translatable finding.","Psychological medicine","2009"
"34130515","Association and genetic overlap between clinical chemistry tests and migraine.","Cephalalgia : an international journal of headache","2021"
"22250207","Association analysis of STX1A gene variants in common forms of migraine.","Cephalalgia : an international journal of headache","2012"
"30256423","Using a Genetic Risk Score Approach to Predict Headache Response to Triptans in Migraine Without Aura.","Journal of clinical pharmacology","2019"
"40791713","Genome-wide study of somatic symptom and related disorders identifies novel genomic loci and map genetic architecture.","medRxiv : the preprint server for health sciences","2025"
"27177582","Migraine genetics: New opportunities, new challenges.","Cephalalgia : an international journal of headache","2016"
"39901647","Long-term physical health conditions and youth anxiety and depression: Is there a causal link?","Psychological medicine","2025"
"37415088","Migraine and white matter lesions: a mendelian randomization study.","Scientific reports","2023"
"39781574","Exploring the association between familial hemiplegic migraine genes (CACNA1A, ATP1A2 and SCN1A) with migraine and epilepsy: A UK Biobank exome-wide association study.","Cephalalgia : an international journal of headache","2025"
"27706811","Oncogenic targets Mmp7, S100a9, Nppb and Aldh1a3 from transcriptome profiling of FAP and Pirc adenomas are downregulated in response to tumor suppression by Clotam.","International journal of cancer","2017"
"41731789","Air pollution and migraine: causal association or epiphenomenon?","Medicine","2026"
"32377986","Polygenic risk scores indicates genetic overlap between peripheral pain syndromes and chronic postsurgical pain.","Neurogenetics","2020"
"38395927","Causal influences of neuropsychiatric disorders on Alzheimer's disease.","Translational psychiatry","2024"
"41355896","Integrated analysis for drug repositioning in migraine using genetic evidence and claims database.","Frontiers in big data","2025"
"34904213","Migraine and Ischemic Stroke: A Mendelian Randomization Study.","Neurology and therapy","2022"
"36376028","Genome-wide association meta-analysis of knee and hip osteoarthritis uncovers genetic differences between patients treated with joint replacement and patients without joint replacement.","Annals of the rheumatic diseases","2023"
"23161188","Frequency of the C677T variant of the methylenetetrahydrofolate reductase (MTHFR) gene in patients with migraine with or without aura - a preliminary report.","Neurologia i neurochirurgia polska","2012"
"24189132","Exposure to bisphenol A exacerbates migraine-like behaviors in a multibehavior model of rat migraine.","Toxicological sciences : an official journal of the Society of Toxicology","2014"
"19455600","Association study of the serotoninergic system in migraine in the Spanish population.","American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics","2010"
"8530012","Familial hemiplegic migraine locus on 19p13 is involved in the common forms of migraine with and without aura.","Human genetics","1995"
"37518996","Genome-wide Association Studies of REST Gene Associated Neurological Diseases/traits with Related Single Nucleotide Polymorphisms.","Current neurovascular research","2023"
"27919769","Transcriptomic Changes in Rat Cortex and Brainstem After Cortical Spreading Depression With or Without Pretreatment With Migraine Prophylactic Drugs.","The journal of pain","2017"
"40468925","Headache and Intracranial Aneurysm: A Bidirectional Mendelian Randomization Study.","Current neurovascular research","2025"
"35216232","PACAP-38 Induces Transcriptomic Changes in Rat Trigeminal Ganglion Cells Related to Neuroinflammation and Altered Mitochondrial Function Presumably via PAC1/VPAC2 Receptor-Independent Mechanism.","International journal of molecular sciences","2022"
